matrix(99, 1)
( 2.0016 )
( 2.06932 )
( 2.13529 )
( 2.19952 )
( 2.26203 )
( 2.32282 )
( 2.3819 )
( 2.4393 )
( 2.49499 )
( 2.54896 )
( 2.60123 )
( 2.6518 )
( 2.70069 )
( 2.74811 )
( 2.79383 )
( 2.83765 )
( 2.87978 )
( 2.92023 )
( 2.95896 )
( 2.99598 )
( 3.03129 )
( 3.06492 )
( 3.09685 )
( 3.12711 )
( 3.15569 )
( 3.18257 )
( 3.20776 )
( 3.23127 )
( 3.2531 )
( 3.27326 )
( 3.29174 )
( 3.30855 )
( 3.32368 )
( 3.33714 )
( 3.34889 )
( 3.35894 )
( 3.36729 )
( 3.37398 )
( 3.37896 )
( 3.38225 )
( 3.38385 )
( 3.38376 )
( 3.38198 )
( 3.37849 )
( 3.3733 )
( 3.36642 )
( 3.35784 )
( 3.34756 )
( 3.33559 )
( 3.32199 )
( 3.30706 )
( 3.29088 )
( 3.27341 )
( 3.25465 )
( 3.2346 )
( 3.21325 )
( 3.19062 )
( 3.16668 )
( 3.14145 )
( 3.11491 )
( 3.08707 )
( 3.05777 )
( 3.02715 )
( 2.99537 )
( 2.96226 )
( 2.92784 )
( 2.89209 )
( 2.85498 )
( 2.81651 )
( 2.77667 )
( 2.73546 )
( 2.69287 )
( 2.6489 )
( 2.60355 )
( 2.5568 )
( 2.50865 )
( 2.45911 )
( 2.40816 )
( 2.35579 )
( 2.30201 )
( 2.24681 )
( 2.19018 )
( 2.13212 )
( 2.07261 )
( 2.01164 )
( 1.9489 )
( 1.88469 )
( 1.81931 )
( 1.75245 )
( 1.6841 )
( 1.61425 )
( 1.54291 )
( 1.47006 )
( 1.39568 )
( 1.31979 )
( 1.24236 )
( 1.16339 )
( 1.08287 )
( 1.0008 )
