matrix(148, 1)
( -214.079 )
( -210.421 )
( -206.782 )
( -203.138 )
( -199.547 )
( -195.954 )
( -192.359 )
( -188.821 )
( -185.275 )
( -181.756 )
( -178.227 )
( -174.678 )
( -171.12 )
( -167.552 )
( -163.999 )
( -160.451 )
( -156.946 )
( -153.428 )
( -149.915 )
( -146.392 )
( -142.871 )
( -139.346 )
( -135.854 )
( -132.353 )
( -128.88 )
( -125.332 )
( -121.763 )
( -118.186 )
( -114.633 )
( -111.097 )
( -107.556 )
( -104.053 )
( -100.541 )
( -97.0439 )
( -93.5519 )
( -90.0488 )
( -86.5437 )
( -83.0157 )
( -79.4955 )
( -75.9721 )
( -72.4851 )
( -68.9973 )
( -65.5117 )
( -62.0311 )
( -58.5489 )
( -55.0657 )
( -51.5868 )
( -48.1004 )
( -44.6369 )
( -41.109 )
( -37.5618 )
( -34.0128 )
( -30.4728 )
( -26.9445 )
( -23.4108 )
( -19.8895 )
( -16.3646 )
( -12.8505 )
( -9.37036 )
( -5.88499 )
( -2.38909 )
( 1.16237 )
( 4.69523 )
( 8.24305 )
( 11.7746 )
( 15.2985 )
( 18.8229 )
( 22.3505 )
( 25.8908 )
( 29.4056 )
( 32.9741 )
( 36.4462 )
( 40.2105 )
( 43.1717 )
( 45.8907 )
( 48.5814 )
( 51.1491 )
( 53.8609 )
( 56.5254 )
( 59.2189 )
( 61.9006 )
( 64.5859 )
( 67.2785 )
( 69.9723 )
( 72.6656 )
( 75.369 )
( 78.0727 )
( 80.7761 )
( 83.4907 )
( 86.2056 )
( 88.9201 )
( 91.6605 )
( 94.4009 )
( 97.142 )
( 99.8816 )
( 102.625 )
( 105.357 )
( 108.114 )
( 110.873 )
( 113.651 )
( 116.507 )
( 119.341 )
( 122.183 )
( 125.038 )
( 127.895 )
( 130.751 )
( 133.626 )
( 136.501 )
( 139.376 )
( 142.269 )
( 145.164 )
( 148.058 )
( 150.972 )
( 153.887 )
( 156.801 )
( 159.737 )
( 162.674 )
( 165.61 )
( 168.569 )
( 171.529 )
( 174.486 )
( 177.47 )
( 180.455 )
( 183.444 )
( 186.473 )
( 189.497 )
( 192.522 )
( 195.589 )
( 198.656 )
( 201.723 )
( 204.803 )
( 207.883 )
( 210.963 )
( 214.072 )
( 217.181 )
( 220.29 )
( 223.43 )
( 226.57 )
( 229.71 )
( 232.882 )
( 236.053 )
( 239.225 )
( 242.43 )
( 245.635 )
( 248.839 )
( 252.079 )
( 255.315 )
( 258.567 )
