matrix(100, 1)
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.02 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.03 )
( -5991.04 )
( -5991.04 )
( -5991.04 )
( -5991.04 )
( -5991.04 )
( -5991.04 )
( -5991.04 )
( -5991.04 )
( -5991.04 )
( -5991.05 )
( -5991.05 )
( -5991.05 )
( -5991.05 )
( -5991.05 )
( -5991.05 )
( -5991.05 )
( -5991.05 )
( -5991.05 )
( -5991.06 )
( -5991.06 )
( -5991.06 )
( -5991.06 )
( -5991.07 )
( -5991.07 )
( -5991.07 )
( -5991.07 )
( -5991.07 )
( -5991.08 )
( -5991.08 )
( -5991.08 )
( -5991.08 )
( -5991.09 )
( -5991.09 )
( -5991.09 )
( -5991.09 )
( -5991.1 )
( -5991.1 )
( -5991.1 )
( -5991.1 )
( -5991.1 )
( -5991.11 )
( -5991.11 )
( -5991.11 )
( -5991.11 )
( -5991.12 )
( -5991.12 )
( -5991.12 )
( -5991.12 )
( -5991.13 )
