matrix(199, 1)
( -5.9911e-12 )
( -1.64568e-07 )
( 1.22552e-07 )
( 4.27979e-07 )
( 2.207e-07 )
( 1.60802e-07 )
( 1.22333e-07 )
( -1.26636e-07 )
( 3.04637e-07 )
( 7.3844e-07 )
( 4.83567e-07 )
( 4.61538e-07 )
( 3.52037e-07 )
( 2.72109e-07 )
( 1.81075e-07 )
( 9.37892e-08 )
( 5.11513e-09 )
( -8.31318e-08 )
( -1.71424e-07 )
( -2.59838e-07 )
( -3.47791e-07 )
( -4.36338e-07 )
( -5.23367e-07 )
( -6.14188e-07 )
( -6.93885e-07 )
( -8.03165e-07 )
( -8.24959e-07 )
( -1.07963e-06 )
( -6.45524e-07 )
( -2.14163e-07 )
( -4.62395e-07 )
( -5.00237e-07 )
( -5.59782e-07 )
( -7.64361e-07 )
( -4.63788e-07 )
( -1.59618e-07 )
( -3.72591e-07 )
( -4.10716e-07 )
( -5.14525e-07 )
( -5.96131e-07 )
( -6.86061e-07 )
( -7.73215e-07 )
( -8.61309e-07 )
( -9.49238e-07 )
( -1.03677e-06 )
( -1.12518e-06 )
( -1.21105e-06 )
( -1.30356e-06 )
( -1.37645e-06 )
( -1.50157e-06 )
( -1.47223e-06 )
( -1.85403e-06 )
( -1.01985e-06 )
( -4.47423e-07 )
( -2.18413e-07 )
( 3.8673e-07 )
( 8.14741e-08 )
( 7.11254e-08 )
( -1.18482e-08 )
( -1.71845e-07 )
( -2.47134e-09 )
( 1.71799e-07 )
( 3.78321e-10 )
( -5.41638e-08 )
( -1.52608e-07 )
( -2.36214e-07 )
( -3.25391e-07 )
( -4.12695e-07 )
( -5.00657e-07 )
( -5.8854e-07 )
( -6.76029e-07 )
( -7.64816e-07 )
( -8.49668e-07 )
( -9.4504e-07 )
( -1.00928e-06 )
( -1.15639e-06 )
( -1.05842e-06 )
( -1.61281e-06 )
( -2.37738e-07 )
( 8.07298e-07 )
( 1.02301e-06 )
( 1.76723e-06 )
( 1.57907e-06 )
( 1.14144e-06 )
( 2.46774e-06 )
( 3.78636e-06 )
( 3.36661e-06 )
( 3.59274e-06 )
( 3.40431e-06 )
( 3.35604e-06 )
( 3.25512e-06 )
( 3.17201e-06 )
( 3.08218e-06 )
( 2.99471e-06 )
( 2.90608e-06 )
( 2.81809e-06 )
( 2.7291e-06 )
( 2.64043e-06 )
( 2.55171e-06 )
( 2.46232e-06 )
( 2.37521e-06 )
( 2.28194e-06 )
( 2.20696e-06 )
( 2.08325e-06 )
( 2.10367e-06 )
( 1.74049e-06 )
( 2.51186e-06 )
( 3.23874e-06 )
( 2.9794e-06 )
( 2.74882e-06 )
( 3.40857e-06 )
( 4.11602e-06 )
( 3.77417e-06 )
( 3.78707e-06 )
( 3.66679e-06 )
( 3.59154e-06 )
( 3.49938e-06 )
( 3.41293e-06 )
( 3.32434e-06 )
( 3.23648e-06 )
( 3.14835e-06 )
( 3.06028e-06 )
( 2.97227e-06 )
( 2.88398e-06 )
( 2.79654e-06 )
( 2.70684e-06 )
( 2.62382e-06 )
( 2.52301e-06 )
( 2.47485e-06 )
( 2.28654e-06 )
( 2.51274e-06 )
( 2.09314e-06 )
( 3.4117e-06 )
( 4.73808e-06 )
( 4.30035e-06 )
( 4.11218e-06 )
( 4.85623e-06 )
( 5.07185e-06 )
( 6.1167e-06 )
( 7.49165e-06 )
( 6.93706e-06 )
( 7.03485e-06 )
( 6.88758e-06 )
( 6.82316e-06 )
( 6.72761e-06 )
( 6.64262e-06 )
( 6.55358e-06 )
( 6.46597e-06 )
( 6.37762e-06 )
( 6.28934e-06 )
( 6.20159e-06 )
( 6.11201e-06 )
( 6.02799e-06 )
( 5.92913e-06 )
( 5.87419e-06 )
( 5.70237e-06 )
( 5.87621e-06 )
( 6.04522e-06 )
( 5.88468e-06 )
( 5.80127e-06 )
( 5.79031e-06 )
( 5.48453e-06 )
( 6.08903e-06 )
( 6.31744e-06 )
( 6.88921e-06 )
( 7.72279e-06 )
( 7.34029e-06 )
( 7.36895e-06 )
( 7.24316e-06 )
( 7.16959e-06 )
( 7.07639e-06 )
( 6.9899e-06 )
( 6.90067e-06 )
( 6.81255e-06 )
( 6.72349e-06 )
( 6.63448e-06 )
( 6.54624e-06 )
( 6.45526e-06 )
( 6.37261e-06 )
( 6.26775e-06 )
( 6.22859e-06 )
( 6.01459e-06 )
( 6.31768e-06 )
( 6.61734e-06 )
( 6.41134e-06 )
( 6.35068e-06 )
( 6.31121e-06 )
( 6.06166e-06 )
( 6.49119e-06 )
( 6.92371e-06 )
( 6.66719e-06 )
( 6.64362e-06 )
( 6.53256e-06 )
( 6.45107e-06 )
( 6.3585e-06 )
( 6.26964e-06 )
( 6.17949e-06 )
( 6.0897e-06 )
( 6.00001e-06 )
