"Uv","Points:0","Points:1","Points:2"
-5.9872e-12,2,2,1.2
-1.7022e-07,2,2,1.2141
1.1121e-07,2,2,1.2283
4.1082e-07,2,2,1.2424
1.9816e-07,2,2,1.2566
1.327e-07,2,2,1.2707
8.8854e-08,2,2,1.2848
-1.6552e-07,2,2,1.299
2.6025e-07,2,2,1.3131
6.8852e-07,2,2,1.3273
4.2832e-07,2,2,1.3414
4.009e-07,2,2,1.3556
2.8603e-07,2,2,1.3697
2.0073e-07,2,2,1.3838
1.0432e-07,2,2,1.398
1.1655e-08,2,2,1.4121
-8.2361e-08,2,2,1.4263
-1.7606e-07,2,2,1.4404
-2.6948e-07,2,2,1.4545
-3.6339e-07,2,2,1.4687
-4.5592e-07,2,2,1.4828
-5.4942e-07,2,2,1.497
-6.4107e-07,2,2,1.5111
-7.3662e-07,2,2,1.5253
-8.2101e-07,2,2,1.5394
-9.3499e-07,2,2,1.5535
-9.6149e-07,2,2,1.5677
-1.2209e-06,2,2,1.5818
-7.9149e-07,2,2,1.596
-3.6513e-07,2,2,1.6101
-6.1747e-07,2,2,1.6242
-6.5983e-07,2,2,1.6384
-7.2342e-07,2,2,1.6525
-9.3222e-07,2,2,1.6667
-6.3575e-07,2,2,1.6808
-3.3579e-07,2,2,1.6949
-5.5272e-07,2,2,1.7091
-5.9489e-07,2,2,1.7232
-7.027e-07,2,2,1.7374
-7.8834e-07,2,2,1.7515
-8.8226e-07,2,2,1.7657
-9.7351e-07,2,2,1.7798
-1.0654e-06,2,2,1.7939
-1.1574e-06,2,2,1.8081
-1.2482e-06,2,2,1.8222
-1.3401e-06,2,2,1.8364
-1.4292e-06,2,2,1.8505
-1.5251e-06,2,2,1.8646
-1.6013e-06,2,2,1.8788
-1.7297e-06,2,2,1.8929
-1.7037e-06,2,2,1.9071
-2.0887e-06,2,2,1.9212
-1.2582e-06,2,2,1.9354
-6.8949e-07,2,2,1.9495
-4.6362e-07,2,2,1.9636
1.379e-07,2,2,1.9778
-1.6993e-07,2,2,1.9919
-1.8334e-07,2,2,2.0061
-2.6882e-07,2,2,2.0202
-4.3154e-07,2,2,2.0343
-2.647e-07,2,2,2.0485
-9.3099e-08,2,2,2.0626
-2.6695e-07,2,2,2.0768
