Uv,Points:0,Points:1,Points:2
-5.9911E-012,2,2,1.2
-1.6457E-007,2,2,1.2141
1.2255E-007,2,2,1.2283
0.000000428,2,2,1.2424
2.207E-007,2,2,1.2566
1.608E-007,2,2,1.2707
1.2233E-007,2,2,1.2848
-1.2664E-007,2,2,1.299
3.0464E-007,2,2,1.3131
7.3844E-007,2,2,1.3273
4.8357E-007,2,2,1.3414
4.6154E-007,2,2,1.3556
0.000000352,2,2,1.3697
2.7211E-007,2,2,1.3838
1.8107E-007,2,2,1.398
9.3789E-008,2,2,1.4121
5.1151E-009,2,2,1.4263
-8.3132E-008,2,2,1.4404
-1.7142E-007,2,2,1.4545
-2.5984E-007,2,2,1.4687
-3.4779E-007,2,2,1.4828
-4.3634E-007,2,2,1.497
-5.2337E-007,2,2,1.5111
-6.1419E-007,2,2,1.5253
-6.9389E-007,2,2,1.5394
-8.0317E-007,2,2,1.5535
-0.000000825,2,2,1.5677
-1.0796E-006,2,2,1.5818
-6.4552E-007,2,2,1.596
-2.1416E-007,2,2,1.6101
-4.624E-007,2,2,1.6242
-5.0024E-007,2,2,1.6384
-5.5978E-007,2,2,1.6525
-7.6436E-007,2,2,1.6667
-4.6379E-007,2,2,1.6808
-1.5962E-007,2,2,1.6949
-3.7259E-007,2,2,1.7091
-4.1072E-007,2,2,1.7232
-5.1452E-007,2,2,1.7374
-5.9613E-007,2,2,1.7515
-6.8606E-007,2,2,1.7657
-7.7321E-007,2,2,1.7798
-8.6131E-007,2,2,1.7939
-9.4924E-007,2,2,1.8081
-1.0368E-006,2,2,1.8222
-1.1252E-006,2,2,1.8364
-0.000001211,2,2,1.8505
-1.3036E-006,2,2,1.8646
-1.3765E-006,2,2,1.8788
-1.5016E-006,2,2,1.8929
-1.4722E-006,2,2,1.9071
-0.000001854,2,2,1.9212
-1.0198E-006,2,2,1.9354
-4.4742E-007,2,2,1.9495
-2.1841E-007,2,2,1.9636
3.8673E-007,2,2,1.9778
8.1474E-008,2,2,1.9919
7.1125E-008,2,2,2.0061
-1.1848E-008,2,2,2.0202
-1.7184E-007,2,2,2.0343
-2.4713E-009,2,2,2.0485
1.718E-007,2,2,2.0626
3.7832E-010,2,2,2.0768
-5.4164E-008,2,2,2.0909
-1.5261E-007,2,2,2.1051
-2.3621E-007,2,2,2.1192
-3.2539E-007,2,2,2.1333
-4.127E-007,2,2,2.1475
-5.0066E-007,2,2,2.1616
-5.8854E-007,2,2,2.1758
-0.000000676,2,2,2.1899
-7.6482E-007,2,2,2.204
-8.4967E-007,2,2,2.2182
-0.000000945,2,2,2.2323
-1.0093E-006,2,2,2.2465
-1.1564E-006,2,2,2.2606
-1.0584E-006,2,2,2.2747
-1.6128E-006,2,2,2.2889
-2.3774E-007,2,2,2.303
8.073E-007,2,2,2.3172
0.000001023,2,2,2.3313
1.7672E-006,2,2,2.3455
1.5791E-006,2,2,2.3596
1.1414E-006,2,2,2.3737
2.4677E-006,2,2,2.3879
3.7864E-006,2,2,2.402
3.3666E-006,2,2,2.4162
3.5927E-006,2,2,2.4303
3.4043E-006,2,2,2.4444
0.000003356,2,2,2.4586
3.2551E-006,2,2,2.4727
0.000003172,2,2,2.4869
3.0822E-006,2,2,2.501
2.9947E-006,2,2,2.5152
2.9061E-006,2,2,2.5293
2.8181E-006,2,2,2.5434
2.7291E-006,2,2,2.5576
2.6404E-006,2,2,2.5717
2.5517E-006,2,2,2.5859
2.4623E-006,2,2,2.6
2.3752E-006,2,2,2.6141
2.2819E-006,2,2,2.6283
0.000002207,2,2,2.6424
2.0832E-006,2,2,2.6566
2.1037E-006,2,2,2.6707
1.7405E-006,2,2,2.6848
2.5119E-006,2,2,2.699
3.2387E-006,2,2,2.7131
2.9794E-006,2,2,2.7273
2.7488E-006,2,2,2.7414
3.4086E-006,2,2,2.7556
0.000004116,2,2,2.7697
3.7742E-006,2,2,2.7838
3.7871E-006,2,2,2.798
3.6668E-006,2,2,2.8121
3.5915E-006,2,2,2.8263
3.4994E-006,2,2,2.8404
3.4129E-006,2,2,2.8545
3.3243E-006,2,2,2.8687
3.2365E-006,2,2,2.8828
3.1483E-006,2,2,2.897
3.0603E-006,2,2,2.9111
2.9723E-006,2,2,2.9253
0.000002884,2,2,2.9394
2.7965E-006,2,2,2.9535
2.7068E-006,2,2,2.9677
2.6238E-006,2,2,2.9818
0.000002523,2,2,2.996
2.4748E-006,2,2,3.0101
2.2865E-006,2,2,3.0242
2.5127E-006,2,2,3.0384
2.0931E-006,2,2,3.0525
3.4117E-006,2,2,3.0667
4.7381E-006,2,2,3.0808
4.3003E-006,2,2,3.0949
4.1122E-006,2,2,3.1091
4.8562E-006,2,2,3.1232
5.0718E-006,2,2,3.1374
6.1167E-006,2,2,3.1515
7.4916E-006,2,2,3.1657
6.9371E-006,2,2,3.1798
7.0349E-006,2,2,3.1939
6.8876E-006,2,2,3.2081
6.8232E-006,2,2,3.2222
6.7276E-006,2,2,3.2364
6.6426E-006,2,2,3.2505
6.5536E-006,2,2,3.2646
0.000006466,2,2,3.2788
6.3776E-006,2,2,3.2929
6.2893E-006,2,2,3.3071
6.2016E-006,2,2,3.3212
0.000006112,2,2,3.3354
0.000006028,2,2,3.3495
5.9291E-006,2,2,3.3636
5.8742E-006,2,2,3.3778
5.7024E-006,2,2,3.3919
5.8762E-006,2,2,3.4061
6.0452E-006,2,2,3.4202
5.8847E-006,2,2,3.4343
5.8013E-006,2,2,3.4485
5.7903E-006,2,2,3.4626
5.4845E-006,2,2,3.4768
0.000006089,2,2,3.4909
6.3174E-006,2,2,3.5051
6.8892E-006,2,2,3.5192
7.7228E-006,2,2,3.5333
7.3403E-006,2,2,3.5475
7.3689E-006,2,2,3.5616
7.2432E-006,2,2,3.5758
7.1696E-006,2,2,3.5899
7.0764E-006,2,2,3.604
6.9899E-006,2,2,3.6182
6.9007E-006,2,2,3.6323
6.8125E-006,2,2,3.6465
6.7235E-006,2,2,3.6606
6.6345E-006,2,2,3.6747
6.5462E-006,2,2,3.6889
6.4553E-006,2,2,3.703
6.3726E-006,2,2,3.7172
6.2678E-006,2,2,3.7313
6.2286E-006,2,2,3.7455
6.0146E-006,2,2,3.7596
6.3177E-006,2,2,3.7737
6.6173E-006,2,2,3.7879
6.4113E-006,2,2,3.802
6.3507E-006,2,2,3.8162
6.3112E-006,2,2,3.8303
6.0617E-006,2,2,3.8444
6.4912E-006,2,2,3.8586
6.9237E-006,2,2,3.8727
6.6672E-006,2,2,3.8869
6.6436E-006,2,2,3.901
6.5326E-006,2,2,3.9152
6.4511E-006,2,2,3.9293
6.3585E-006,2,2,3.9434
6.2696E-006,2,2,3.9576
6.1795E-006,2,2,3.9717
6.0897E-006,2,2,3.9859
0.000006,2,2,4
