matrix(99, 1)
( 38.9835 )
( 38.9854 )
( 38.9872 )
( 38.9889 )
( 38.9906 )
( 38.9922 )
( 38.9938 )
( 38.9955 )
( 38.9971 )
( 38.9988 )
( 39.0004 )
( 39.0019 )
( 39.0033 )
( 39.0047 )
( 39.0061 )
( 39.0074 )
( 39.0088 )
( 39.0102 )
( 39.0116 )
( 39.013 )
( 39.0142 )
( 39.0154 )
( 39.0166 )
( 39.0177 )
( 39.0188 )
( 39.02 )
( 39.0212 )
( 39.0223 )
( 39.0234 )
( 39.0245 )
( 39.0254 )
( 39.0263 )
( 39.0272 )
( 39.028 )
( 39.0289 )
( 39.0299 )
( 39.0308 )
( 39.0317 )
( 39.0325 )
( 39.0333 )
( 39.0339 )
( 39.0346 )
( 39.0353 )
( 39.036 )
( 39.0367 )
( 39.0374 )
( 39.038 )
( 39.0386 )
( 39.0391 )
( 39.0395 )
( 39.04 )
( 39.0405 )
( 39.0409 )
( 39.0414 )
( 39.0419 )
( 39.0424 )
( 39.0429 )
( 39.0433 )
( 39.0437 )
( 39.044 )
( 39.0444 )
( 39.0448 )
( 39.0452 )
( 39.0457 )
( 39.046 )
( 39.0464 )
( 39.0467 )
( 39.047 )
( 39.0473 )
( 39.0476 )
( 39.0479 )
( 39.0482 )
( 39.0485 )
( 39.0488 )
( 39.0491 )
( 39.0493 )
( 39.0495 )
( 39.0497 )
( 39.0499 )
( 39.0501 )
( 39.0503 )
( 39.0505 )
( 39.0507 )
( 39.0509 )
( 39.051 )
( 39.051 )
( 39.0511 )
( 39.0512 )
( 39.0513 )
( 39.0515 )
( 39.0516 )
( 39.0517 )
( 39.0517 )
( 39.0517 )
( 39.0517 )
( 39.0517 )
( 39.0517 )
( 39.0517 )
( 39.0517 )
