matrix(148, 1)
( -6 )
( -5.82032 )
( -5.66119 )
( -5.49178 )
( -5.36988 )
( -5.25269 )
( -5.12887 )
( -5.10126 )
( -5.0759 )
( -5.05675 )
( -5.12878 )
( -5.15529 )
( -5.2778 )
( -5.18257 )
( -5.01277 )
( -4.83491 )
( -4.6579 )
( -4.53179 )
( -4.37316 )
( -4.29724 )
( -4.23011 )
( -4.17127 )
( -4.2196 )
( -4.23493 )
( -4.30308 )
( -4.37049 )
( -4.42899 )
( -4.41071 )
( -4.17661 )
( -4.03708 )
( -3.86196 )
( -3.74727 )
( -3.62956 )
( -3.51382 )
( -3.51225 )
( -3.51051 )
( -3.5073 )
( -3.57831 )
( -3.61205 )
( -3.74282 )
( -3.65162 )
( -3.48132 )
( -3.30347 )
( -3.12439 )
( -2.99919 )
( -2.83728 )
( -2.77474 )
( -2.72353 )
( -2.68191 )
( -2.73765 )
( -2.75832 )
( -2.83137 )
( -2.90316 )
( -2.96634 )
( -2.95516 )
( -2.7212 )
( -2.57935 )
( -2.40077 )
( -2.28438 )
( -2.16838 )
( -2.05107 )
( -2.06313 )
( -2.07499 )
( -2.09025 )
( -2.16359 )
( -2.19597 )
( -2.32249 )
( -2.23158 )
( -2.06456 )
( -1.89342 )
( -1.71234 )
( -1.58738 )
( -1.4085 )
( -1.39434 )
( -1.4086 )
( -1.43047 )
( -1.47482 )
( -1.49091 )
( -1.5302 )
( -1.55229 )
( -1.57278 )
( -1.56747 )
( -1.47143 )
( -1.41197 )
( -1.32712 )
( -1.2607 )
( -1.19451 )
( -1.1546 )
( -1.1989 )
( -1.21396 )
( -1.23621 )
( -1.25895 )
( -1.27393 )
( -1.31953 )
( -1.27734 )
( -1.20769 )
( -1.1376 )
( -1.04896 )
( -0.986064 )
( -0.887359 )
( -0.876968 )
( -0.891227 )
( -0.907637 )
( -0.939983 )
( -0.952164 )
( -0.984728 )
( -1.00137 )
( -1.01578 )
( -1.00499 )
( -0.904354 )
( -0.840084 )
( -0.750165 )
( -0.678875 )
( -0.607926 )
( -0.563884 )
( -0.606144 )
( -0.618371 )
( -0.63807 )
( -0.657924 )
( -0.67012 )
( -0.712813 )
( -0.668115 )
( -0.596149 )
( -0.523771 )
( -0.432784 )
( -0.367574 )
( -0.266217 )
( -0.253638 )
( -0.265901 )
( -0.280331 )
( -0.3107 )
( -0.320726 )
( -0.351202 )
( -0.365631 )
( -0.377859 )
( -0.36481 )
( -0.261912 )
( -0.195165 )
( -0.103437 )
( -0.0296277 )
( 0.043898 )
( 0.0918314 )
( 0.056862 )
( 0.0514598 )
( 0.0364037 )
( 0.0256775 )
( 0.0125365 )
( -5.54603e-14 )
