matrix(100, 1)
( -5315.1 )
( -5315.1 )
( -5315.1 )
( -5315.1 )
( -5315.1 )
( -5315.11 )
( -5315.11 )
( -5315.11 )
( -5315.12 )
( -5315.12 )
( -5315.13 )
( -5315.13 )
( -5315.14 )
( -5315.14 )
( -5315.15 )
( -5315.16 )
( -5315.16 )
( -5315.17 )
( -5315.18 )
( -5315.19 )
( -5315.2 )
( -5315.2 )
( -5315.21 )
( -5315.22 )
( -5315.23 )
( -5315.24 )
( -5315.25 )
( -5315.26 )
( -5315.28 )
( -5315.29 )
( -5315.3 )
( -5315.31 )
( -5315.32 )
( -5315.33 )
( -5315.35 )
( -5315.36 )
( -5315.37 )
( -5315.39 )
( -5315.4 )
( -5315.41 )
( -5315.43 )
( -5315.44 )
( -5315.45 )
( -5315.47 )
( -5315.48 )
( -5315.5 )
( -5315.51 )
( -5315.52 )
( -5315.54 )
( -5315.55 )
( -5315.57 )
( -5315.58 )
( -5315.6 )
( -5315.61 )
( -5315.63 )
( -5315.64 )
( -5315.66 )
( -5315.67 )
( -5315.69 )
( -5315.7 )
( -5315.71 )
( -5315.73 )
( -5315.74 )
( -5315.76 )
( -5315.77 )
( -5315.79 )
( -5315.8 )
( -5315.82 )
( -5315.83 )
( -5315.85 )
( -5315.86 )
( -5315.87 )
( -5315.89 )
( -5315.9 )
( -5315.91 )
( -5315.93 )
( -5315.94 )
( -5315.95 )
( -5315.97 )
( -5315.98 )
( -5315.99 )
( -5316.01 )
( -5316.02 )
( -5316.03 )
( -5316.04 )
( -5316.05 )
( -5316.07 )
( -5316.08 )
( -5316.09 )
( -5316.1 )
( -5316.11 )
( -5316.12 )
( -5316.13 )
( -5316.14 )
( -5316.15 )
( -5316.16 )
( -5316.17 )
( -5316.17 )
( -5316.18 )
( -5316.19 )
