matrix(199, 1)
( -5.31404e-12 )
( 0.000178833 )
( 0.000267835 )
( 0.000385239 )
( 0.000497662 )
( 0.000602643 )
( 0.000737547 )
( 0.000866301 )
( 0.00098563 )
( 0.0011209 )
( 0.00121246 )
( 0.00131996 )
( 0.00141792 )
( 0.00150348 )
( 0.00164006 )
( 0.00178277 )
( 0.00185401 )
( 0.00194723 )
( 0.00203854 )
( 0.00212044 )
( 0.00223572 )
( 0.00234085 )
( 0.00244645 )
( 0.00256521 )
( 0.00263963 )
( 0.00273083 )
( 0.00281032 )
( 0.00287653 )
( 0.00299881 )
( 0.00312662 )
( 0.00317995 )
( 0.00325671 )
( 0.00332975 )
( 0.00339347 )
( 0.00349206 )
( 0.00358173 )
( 0.00366626 )
( 0.00376242 )
( 0.00382496 )
( 0.00390153 )
( 0.00396488 )
( 0.00401468 )
( 0.00412294 )
( 0.00423649 )
( 0.00427395 )
( 0.00433517 )
( 0.00439319 )
( 0.00444118 )
( 0.00452586 )
( 0.00460135 )
( 0.00467081 )
( 0.00474954 )
( 0.00480338 )
( 0.00487141 )
( 0.00491698 )
( 0.00495516 )
( 0.0050405 )
( 0.00512572 )
( 0.00516417 )
( 0.00522319 )
( 0.00526042 )
( 0.00529482 )
( 0.00536038 )
( 0.00542437 )
( 0.00546249 )
( 0.00550746 )
( 0.00555547 )
( 0.0056092 )
( 0.00564076 )
( 0.00566361 )
( 0.0057377 )
( 0.00581141 )
( 0.00583515 )
( 0.00588093 )
( 0.00590319 )
( 0.00592517 )
( 0.00597159 )
( 0.00601637 )
( 0.00604221 )
( 0.00606777 )
( 0.00611319 )
( 0.00616341 )
( 0.00617774 )
( 0.00618752 )
( 0.00624839 )
( 0.00630944 )
( 0.00631878 )
( 0.00635191 )
( 0.00635746 )
( 0.00636484 )
( 0.00639366 )
( 0.00642393 )
( 0.00642793 )
( 0.00642873 )
( 0.00646649 )
( 0.00650511 )
( 0.00650388 )
( 0.00650298 )
( 0.00654085 )
( 0.00657233 )
( 0.00658633 )
( 0.00661847 )
( 0.00660765 )
( 0.00659862 )
( 0.00662656 )
( 0.00665695 )
( 0.00664221 )
( 0.00663544 )
( 0.00664723 )
( 0.00666176 )
( 0.00664858 )
( 0.00663718 )
( 0.00664757 )
( 0.00665064 )
( 0.00665632 )
( 0.00667375 )
( 0.00664939 )
( 0.00662633 )
( 0.00664076 )
( 0.00665223 )
( 0.00663609 )
( 0.00662484 )
( 0.0066249 )
( 0.0066316 )
( 0.00660485 )
( 0.00658262 )
( 0.00657878 )
( 0.00656874 )
( 0.00656095 )
( 0.0065659 )
( 0.00652614 )
( 0.0064924 )
( 0.00648335 )
( 0.00646961 )
( 0.0064468 )
( 0.00642093 )
( 0.00641432 )
( 0.00641489 )
( 0.0063723 )
( 0.00633724 )
( 0.00632019 )
( 0.0062962 )
( 0.00627735 )
( 0.00627156 )
( 0.0062171 )
( 0.00616946 )
( 0.00614781 )
( 0.0061107 )
( 0.00609911 )
( 0.00608105 )
( 0.00605903 )
( 0.00605437 )
( 0.00599579 )
( 0.00595495 )
( 0.00590894 )
( 0.00585107 )
( 0.00583783 )
( 0.00583132 )
( 0.00575777 )
( 0.00569955 )
( 0.00565733 )
( 0.00559872 )
( 0.00557868 )
( 0.00554887 )
( 0.00551304 )
( 0.00549574 )
( 0.00542267 )
( 0.00536803 )
( 0.00530781 )
( 0.00523555 )
( 0.00520894 )
( 0.00518935 )
( 0.00510069 )
( 0.00502826 )
( 0.00497088 )
( 0.00489204 )
( 0.00486962 )
( 0.0048347 )
( 0.00478502 )
( 0.00475741 )
( 0.00467098 )
( 0.00460532 )
( 0.00452934 )
( 0.00444371 )
( 0.00440046 )
( 0.00436498 )
( 0.00426123 )
( 0.00417426 )
( 0.00409972 )
( 0.00400356 )
( 0.00396692 )
( 0.0039125 )
( 0.0038578 )
( 0.0038126 )
( 0.00373604 )
( 0.0035974 )
( 0.00369711 )
( 0.00354049 )
( 0.004 )
