matrix(99, 1)
( 6e+15 )
( 5.9388e+15 )
( 5.8776e+15 )
( 5.8164e+15 )
( 5.7552e+15 )
( 5.694e+15 )
( 5.6328e+15 )
( 5.5716e+15 )
( 5.5104e+15 )
( 5.4492e+15 )
( 5.388e+15 )
( 5.3268e+15 )
( 5.2656e+15 )
( 5.2041e+15 )
( 5.1426e+15 )
( 5.0814e+15 )
( 5.0202e+15 )
( 4.959e+15 )
( 4.8978e+15 )
( 4.8366e+15 )
( 4.7754e+15 )
( 4.7142e+15 )
( 4.653e+15 )
( 4.5918e+15 )
( 4.5306e+15 )
( 4.4694e+15 )
( 4.4082e+15 )
( 4.347e+15 )
( 4.2858e+15 )
( 4.2246e+15 )
( 4.1634e+15 )
( 4.1022e+15 )
( 4.041e+15 )
( 3.9798e+15 )
( 3.9186e+15 )
( 3.8574e+15 )
( 3.7962e+15 )
( 3.7347e+15 )
( 3.6732e+15 )
( 3.612e+15 )
( 3.5508e+15 )
( 3.4896e+15 )
( 3.4284e+15 )
( 3.3672e+15 )
( 3.306e+15 )
( 3.2448e+15 )
( 3.1836e+15 )
( 3.1224e+15 )
( 3.0612e+15 )
( 3e+15 )
( 2.9388e+15 )
( 2.8776e+15 )
( 2.8164e+15 )
( 2.7552e+15 )
( 2.694e+15 )
( 2.6328e+15 )
( 2.5716e+15 )
( 2.5104e+15 )
( 2.4492e+15 )
( 2.388e+15 )
( 2.3268e+15 )
( 2.2653e+15 )
( 2.2038e+15 )
( 2.1426e+15 )
( 2.0814e+15 )
( 2.0202e+15 )
( 1.959e+15 )
( 1.8978e+15 )
( 1.8366e+15 )
( 1.7754e+15 )
( 1.7142e+15 )
( 1.653e+15 )
( 1.5918e+15 )
( 1.5306e+15 )
( 1.4694e+15 )
( 1.4082e+15 )
( 1.347e+15 )
( 1.2858e+15 )
( 1.2246e+15 )
( 1.1634e+15 )
( 1.1022e+15 )
( 1.041e+15 )
( 9.798e+14 )
( 9.186e+14 )
( 8.574e+14 )
( 7.959e+14 )
( 7.344e+14 )
( 6.732e+14 )
( 6.12e+14 )
( 5.508e+14 )
( 4.896e+14 )
( 4.284e+14 )
( 3.672e+14 )
( 3.06e+14 )
( 2.448e+14 )
( 1.836e+14 )
( 1.224e+14 )
( 6.12e+13 )
( 0.172917 )
