matrix(148, 1)
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
( 1.90986e+17 )
